episode,cumulativeReward,course,flag_get
873,43.0,3-1,False
874,37.0,2-1,False
875,240.0,7-4,False
876,310.0,2-4,False
877,292.0,3-4,False
878,267.0,5-2,False
879,242.0,5-4,False
880,366.0,2-1,False
881,397.0,6-4,False
882,410.0,2-2,False
883,776.0,6-2,False
884,288.0,6-1,False
885,150.0,4-2,False
886,227.0,1-3,False
887,233.0,8-2,False
888,59.0,2-2,False
889,-165.0,6-2,False
890,158.0,8-2,False
891,145.0,5-1,False
892,203.0,4-2,False
893,186.0,5-4,False
894,368.0,7-1,False
895,235.0,2-2,False
896,219.0,6-3,False
897,203.0,6-2,False
898,136.0,3-2,False
899,413.0,7-2,False
900,171.0,6-4,False
901,242.0,5-4,False
902,288.0,6-1,False
903,399.0,1-4,False
904,495.0,7-3,False
905,288.0,6-1,False
906,227.0,3-3,False
907,210.0,4-2,False
908,302.0,2-3,False
909,587.0,1-1,False
910,187.0,4-3,False
911,74.0,4-4,False
912,304.0,4-3,False
913,167.0,6-4,False
914,196.0,5-1,False
915,352.0,3-3,False
916,248.0,8-2,False
917,257.0,2-1,False
918,492.0,3-1,False
919,271.0,8-2,False
920,567.0,7-2,False
921,75.0,4-4,False
922,286.0,3-2,False
923,287.0,3-2,False
924,1037.0,1-1,False
925,227.0,1-3,False
926,1242.0,2-3,False
927,1227.0,2-2,False
928,219.0,1-3,False
929,290.0,7-4,False
930,276.0,8-2,False
931,281.0,3-1,False
932,349.0,3-3,False
933,74.0,4-4,False
934,245.0,5-4,False
935,146.0,8-1,False
936,281.0,3-2,False
937,136.0,3-2,False
938,226.0,3-3,False
939,865.0,6-1,False
940,331.0,4-3,False
941,209.0,4-2,False
942,134.0,3-2,False
943,181.0,8-3,False
944,526.0,1-3,False
945,471.0,4-1,False
946,263.0,8-2,False
947,316.0,2-3,False
948,243.0,7-4,False
949,464.0,4-1,False
950,305.0,4-3,False
951,136.0,3-2,False
952,410.0,6-1,False
953,1149.0,7-2,False
954,845.0,2-2,False
955,226.0,6-3,False
956,576.0,1-2,False
957,1101.0,7-2,False
958,319.0,7-1,False
959,1306.0,1-1,False
960,280.0,2-3,False
961,210.0,4-2,False
962,419.0,7-2,False
963,593.0,1-2,False
964,258.0,2-1,False
965,384.0,5-2,False
966,55.0,6-2,False
967,107.0,1-4,False
968,240.0,2-1,False
969,231.0,1-1,False
970,147.0,8-2,False
971,211.0,4-2,False
972,352.0,1-3,False
973,400.0,2-2,False
974,324.0,1-3,False
975,303.0,6-3,False
976,405.0,4-1,False
977,934.0,2-2,False
978,148.0,4-2,False
979,486.0,7-1,False
980,1003.0,2-3,False
981,1139.0,7-2,False
982,351.0,3-3,False
983,535.0,2-1,False
984,997.0,2-3,False
985,232.0,5-3,False
986,397.0,6-3,False
987,301.0,7-3,False
988,136.0,8-2,False
989,325.0,7-3,False
990,661.0,5-2,False
991,729.0,3-1,False
992,868.0,2-2,False
993,148.0,4-2,False
994,139.0,4-4,False
995,681.0,3-1,False
996,295.0,7-4,False
997,215.0,3-4,False
998,1670.0,2-2,False
999,148.0,4-2,False
1000,154.0,3-2,False
1001,267.0,7-4,False
1002,596.0,1-1,False
1003,136.0,4-4,False
1004,436.0,2-4,False
1005,1143.0,7-2,False
1006,75.0,4-4,False
1007,280.0,3-1,False
1008,259.0,2-1,False
1009,167.0,6-4,False
1010,1166.0,3-2,False
1011,941.0,8-3,False
1012,349.0,5-3,False
1013,356.0,7-4,False
1014,419.0,7-2,False
1015,167.0,6-4,False
1016,325.0,5-3,False
1017,672.0,3-1,False
1018,302.0,7-1,False
1019,74.0,4-4,False
1020,355.0,2-4,False
1021,218.0,6-3,False
1022,390.0,3-3,False
1023,227.0,1-3,False
1024,126.0,5-1,False
1025,1043.0,8-3,False
1026,86.0,8-4,False
1027,309.0,8-1,False
1028,279.0,6-1,False
1029,548.0,5-3,False
1030,3115.0,2-2,True
1031,243.0,7-4,False
1032,863.0,8-3,False
1033,241.0,2-1,False
1034,227.0,3-3,False
1035,219.0,1-3,False
1036,243.0,5-4,False
1037,170.0,1-4,False
1038,86.0,8-4,False
1039,302.0,7-3,False
1040,123.0,5-1,False
1041,135.0,3-2,False
1042,329.0,7-1,False
1043,310.0,5-4,False
1044,230.0,1-1,False
1045,310.0,5-4,False
1046,209.0,5-1,False
1047,212.0,4-2,False
1048,277.0,2-3,False
1049,117.0,1-2,False
1050,85.0,8-4,False
1051,219.0,1-3,False
1052,1046.0,1-1,False
1053,242.0,7-4,False
1054,277.0,3-1,False
1055,209.0,3-4,False
1056,372.0,6-4,False
1057,306.0,7-1,False
1058,169.0,6-4,False
1059,387.0,5-2,False
1060,253.0,8-2,False
1061,716.0,7-3,False
1062,62.0,7-3,False
1063,303.0,6-3,False
1064,578.0,5-3,False
1065,303.0,7-4,False
1066,540.0,5-3,False
1067,1352.0,2-2,False
1068,645.0,5-2,False
1069,491.0,5-2,False
1070,87.0,5-3,False
1071,1137.0,2-2,False
1072,352.0,7-4,False
1073,505.0,7-3,False
1074,871.0,5-2,False
1075,76.0,4-4,False
1076,404.0,4-1,False
1077,432.0,6-1,False
1078,275.0,7-4,False
1079,384.0,1-4,False
1080,354.0,8-3,False
1081,340.0,4-1,False
1082,996.0,2-3,False
1083,135.0,1-2,False
1084,141.0,4-4,False
1085,171.0,1-4,False
1086,258.0,3-3,False
1087,78.0,7-2,False
1088,98.0,8-4,False
1089,141.0,2-1,False
1090,335.0,4-3,False
1091,280.0,6-1,False
1092,281.0,2-4,False
1093,59.0,7-2,False
1094,160.0,3-4,False
1095,229.0,3-3,False
1096,123.0,5-1,False
1097,59.0,2-2,False
1098,128.0,3-4,False
1099,206.0,8-2,False
1100,245.0,5-4,False
1101,167.0,6-4,False
1102,235.0,1-1,False
1103,403.0,2-2,False
1104,228.0,6-1,False
1105,331.0,2-2,False
1106,262.0,2-1,False
1107,214.0,3-4,False
1108,355.0,5-3,False
1109,202.0,5-4,False
1110,287.0,3-2,False
1111,145.0,3-2,False
1112,188.0,2-4,False
1113,342.0,3-1,False
1114,301.0,7-4,False
1115,329.0,4-3,False
1116,336.0,5-3,False
1117,354.0,7-1,False
1118,1004.0,2-3,False
1119,250.0,5-3,False
1120,434.0,3-2,False
1121,230.0,3-3,False
1122,1137.0,7-3,False
1123,269.0,8-2,False
1124,306.0,3-1,False
1125,139.0,4-2,False
1126,165.0,1-4,False
1127,282.0,2-4,False
1128,327.0,7-1,False
1129,168.0,8-1,False
1130,250.0,3-3,False
1131,320.0,6-2,False
1132,127.0,7-2,False
1133,138.0,4-2,False
1134,258.0,3-3,False
1135,158.0,3-2,False
1136,158.0,8-2,False
1137,180.0,6-2,False
1138,415.0,8-3,False
1139,240.0,2-1,False
1140,231.0,1-1,False
