episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
160,134.0,196,395,False,13.571901321411133,0.841795,115,False,False,8-2,2025-12-11 19:02:53.803702
161,239.0,303,392,False,4.443934440612793,0.8408,173,False,False,7-4,2025-12-11 19:02:54.907537
162,359.0,434,380,False,5.348357200622559,0.839805,407,False,False,7-1,2025-12-11 19:02:58.528766
163,633.0,722,366,False,8.188440322875977,0.8388100000000001,687,False,False,1-1,2025-12-11 19:03:04.288542
164,417.0,488,287,False,5.689869403839111,0.837815,277,False,False,3-2,2025-12-11 19:03:07.485714
165,170.0,234,293,False,4.181532859802246,0.83682,145,False,False,1-4,2025-12-11 19:03:08.476819
166,245.0,310,293,False,10.617074966430664,0.835825,151,False,False,6-3,2025-12-11 19:03:09.513198
167,343.0,413,286,False,6.44883394241333,0.83483,293,False,False,2-3,2025-12-11 19:03:11.511816
168,136.0,197,394,False,5.545193672180176,0.833835,128,False,False,4-2,2025-12-11 19:03:12.390456
169,373.0,440,288,False,7.0860748291015625,0.83284,252,False,False,1-4,2025-12-11 19:03:15.552541
170,156.0,220,291,False,8.020732879638672,0.831845,189,False,False,1-4,2025-12-11 19:03:16.839576
171,323.0,391,388,False,8.297712326049805,0.83085,257,False,False,3-1,2025-12-11 19:03:18.615236
172,358.0,426,290,False,4.47022819519043,0.829855,212,False,False,5-3,2025-12-11 19:03:20.092715
173,437.0,513,381,False,5.272797107696533,0.82886,385,False,False,7-2,2025-12-11 19:03:24.208235
174,439.0,560,235,False,4.414966583251953,0.8278650000000001,1299,False,False,8-1,2025-12-11 19:03:34.466606
175,602.0,689,268,False,8.05807113647461,0.82687,639,False,False,5-1,2025-12-11 19:03:41.683935
176,443.0,516,383,False,3.365182876586914,0.825875,347,False,False,7-2,2025-12-11 19:03:45.448320
177,317.0,434,338,False,3.6567487716674805,0.8248800000000001,1243,False,False,6-2,2025-12-11 19:03:55.237455
178,145.0,208,394,False,5.9610419273376465,0.823885,136,False,False,4-2,2025-12-11 19:03:56.142963
179,301.0,370,288,False,4.664792537689209,0.82289,250,False,False,6-3,2025-12-11 19:03:59.394889
180,349.0,418,389,False,3.094268798828125,0.821895,231,False,False,7-1,2025-12-11 19:04:01.000849
181,449.0,523,382,False,3.305067300796509,0.8209,375,False,False,7-2,2025-12-11 19:04:03.576090
182,271.0,451,278,False,4.606832981109619,0.819905,2439,False,False,6-2,2025-12-11 19:04:24.860419
183,811.0,894,373,False,3.2809414863586426,0.81891,557,False,False,1-2,2025-12-11 19:04:30.134430
184,1232.0,1332,255,False,4.229926109313965,0.817915,908,False,False,2-3,2025-12-11 19:04:39.838828
185,256.0,322,391,False,4.294090270996094,0.81692,180,False,False,4-2,2025-12-11 19:04:42.524792
186,414.0,487,284,False,6.476350784301758,0.815925,329,False,False,3-2,2025-12-11 19:04:44.775751
187,637.0,722,370,False,4.691639423370361,0.81493,605,False,False,1-1,2025-12-11 19:04:50.383133
188,235.0,306,386,False,2.0127127170562744,0.813935,291,False,False,3-1,2025-12-11 19:04:52.408218
189,359.0,427,290,False,2.8386731147766113,0.81294,209,False,False,6-4,2025-12-11 19:04:55.334242
190,699.0,783,372,False,5.97990608215332,0.811945,567,False,False,2-2,2025-12-11 19:04:59.961307
191,216.0,282,391,False,4.153591632843018,0.8109500000000001,191,False,False,1-1,2025-12-11 19:05:02.004136
192,842.0,920,277,False,3.8828792572021484,0.809955,469,False,False,7-3,2025-12-11 19:05:07.881618
193,217.0,278,294,False,3.003417491912842,0.80896,136,False,False,3-3,2025-12-11 19:05:08.849886
194,240.0,308,289,False,7.822729110717773,0.807965,222,False,False,5-4,2025-12-11 19:05:10.393478
195,300.0,366,390,False,2.320193290710449,0.80697,215,False,False,7-1,2025-12-11 19:05:14.147391
196,115.0,177,395,False,5.28402042388916,0.805975,103,False,False,1-2,2025-12-11 19:05:14.854266
197,1174.0,1270,361,False,4.014898300170898,0.80498,787,False,False,2-2,2025-12-11 19:05:21.754476
198,143.0,207,291,False,16.20555877685547,0.803985,193,False,False,7-3,2025-12-11 19:05:24.582462
199,626.0,704,380,False,13.275074005126953,0.80299,401,False,False,1-1,2025-12-11 19:05:27.355272
200,358.0,436,379,False,15.418049812316895,0.801995,435,False,False,2-1,2025-12-11 19:05:32.868239
201,80.0,140,396,False,12.809829711914062,0.8009999999999999,87,False,False,8-4,2025-12-11 19:05:33.916160
202,283.0,352,387,False,9.35523796081543,0.800005,271,False,False,8-2,2025-12-11 19:05:37.265683
203,161.0,223,296,False,16.802024841308594,0.79901,83,False,False,8-1,2025-12-11 19:05:37.839475
204,436.0,530,361,False,8.234040260314941,0.7980149999999999,793,False,False,2-1,2025-12-11 19:05:47.356190
205,1124.0,1229,350,False,8.427868843078613,0.7970200000000001,1015,False,False,2-2,2025-12-11 19:05:57.639000
206,293.0,361,289,False,5.137024879455566,0.796025,223,False,False,6-3,2025-12-11 19:06:00.507782
207,366.0,432,292,False,5.9807891845703125,0.79503,168,False,False,3-3,2025-12-11 19:06:01.576583
208,110.0,171,397,False,6.344256401062012,0.794035,72,False,False,8-4,2025-12-11 19:06:03.510791
209,252.0,318,392,False,21.650753021240234,0.79304,164,False,False,7-4,2025-12-11 19:06:05.261056
210,372.0,441,289,False,5.919821739196777,0.792045,237,False,False,1-4,2025-12-11 19:06:08.289021
211,212.0,275,394,False,15.045673370361328,0.79105,123,False,False,7-1,2025-12-11 19:06:09.061792
212,215.0,276,294,False,4.8618669509887695,0.790055,133,False,False,1-3,2025-12-11 19:06:09.894094
213,134.0,195,395,False,4.80349063873291,0.78906,115,False,False,8-2,2025-12-11 19:06:13.572341
214,132.0,193,394,False,3.795888900756836,0.788065,139,False,False,4-2,2025-12-11 19:06:14.443799
215,634.0,716,375,False,5.618439674377441,0.7870699999999999,513,False,False,5-2,2025-12-11 19:06:20.792599
216,601.0,678,379,False,9.511115074157715,0.786075,419,False,False,1-1,2025-12-11 19:06:24.977428
217,1219.0,1315,362,False,7.573342800140381,0.78508,770,False,False,4-1,2025-12-11 19:06:37.458506
218,267.0,333,292,False,25.088693618774414,0.784085,177,False,False,8-1,2025-12-11 19:06:38.584156
219,134.0,195,394,False,8.63241195678711,0.7830900000000001,134,False,False,4-4,2025-12-11 19:06:42.335036
220,85.0,145,396,False,8.068492889404297,0.782095,89,False,False,8-4,2025-12-11 19:06:42.896683
221,773.0,856,373,False,6.475358963012695,0.7811,545,False,False,2-2,2025-12-11 19:06:47.890966
222,265.0,332,390,False,6.451661109924316,0.780105,211,False,False,3-1,2025-12-11 19:06:49.188919
223,116.0,178,396,False,12.107402801513672,0.77911,82,False,False,8-4,2025-12-11 19:06:49.880374
224,282.0,347,293,False,7.445247650146484,0.778115,157,False,False,6-4,2025-12-11 19:06:50.839528
225,724.0,800,279,False,6.511980056762695,0.77712,434,False,False,5-1,2025-12-11 19:06:57.458646
226,492.0,569,281,False,5.957002639770508,0.776125,397,False,False,7-3,2025-12-11 19:07:02.874790
227,698.0,779,276,False,10.307635307312012,0.77513,485,False,False,2-3,2025-12-11 19:07:08.757430
