episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,course,time
3598,779.0,722,369,False,0,0.56836,631,1-1,2025-12-10 07:12:56.349762
3599,284.0,307,394,False,0,0.56824,133,1-1,2025-12-10 07:12:56.681510
3600,261.0,297,393,False,0,0.56812,157,1-1,2025-12-10 07:12:57.053546
3601,293.0,301,392,False,0,0.5680000000000001,161,1-1,2025-12-10 07:12:57.445809
3602,297.0,307,394,False,0,0.5678799999999999,121,1-1,2025-12-10 07:12:57.732801
3603,273.0,298,392,False,0,0.56776,161,1-1,2025-12-10 07:12:58.112343
3604,423.0,722,0,False,0,0.5676399999999999,8018,1-1,2025-12-10 07:13:17.285845
3605,285.0,295,392,False,0,0.56752,165,1-1,2025-12-10 07:13:17.680721
3606,283.0,297,393,False,0,0.5673999999999999,147,1-1,2025-12-10 07:13:18.020916
3607,429.0,722,0,False,0,0.56728,8018,1-1,2025-12-10 07:13:37.159580
3608,805.0,722,370,False,0,0.56716,605,1-1,2025-12-10 07:13:38.606988
3609,290.0,301,393,False,0,0.56704,151,1-1,2025-12-10 07:13:38.960924
3610,726.0,688,343,False,0,0.56692,1157,1-1,2025-12-10 07:13:41.723447
3611,442.0,722,0,False,0,0.5668,8018,1-1,2025-12-10 07:14:00.906815
3612,269.0,295,393,False,0,0.5666800000000001,143,1-1,2025-12-10 07:14:01.244082
3613,761.0,686,380,False,0,0.56656,407,1-1,2025-12-10 07:14:02.217114
3614,750.0,722,341,False,0,0.56644,1187,1-1,2025-12-10 07:14:05.039539
3615,284.0,296,393,False,0,0.5663199999999999,157,1-1,2025-12-10 07:14:05.426767
3616,735.0,677,378,False,0,0.5662,447,1-1,2025-12-10 07:14:06.484200
3617,741.0,682,379,False,0,0.5660799999999999,435,1-1,2025-12-10 07:14:07.516802
3618,764.0,685,379,False,0,0.56596,421,1-1,2025-12-10 07:14:08.508083
3619,303.0,314,393,False,0,0.56584,139,1-1,2025-12-10 07:14:08.834269
3620,277.0,302,393,False,0,0.56572,149,1-1,2025-12-10 07:14:09.184334
3621,405.0,722,0,False,0,0.5656,8018,1-1,2025-12-10 07:14:28.214389
3622,294.0,303,393,False,0,0.56548,145,1-1,2025-12-10 07:14:28.572226
3623,280.0,301,393,False,0,0.56536,149,1-1,2025-12-10 07:14:28.918319
3624,707.0,659,355,False,0,0.56524,901,1-1,2025-12-10 07:14:31.073912
3625,653.0,898,0,False,0,0.56512,8018,1-1,2025-12-10 07:14:49.727527
3626,301.0,310,394,False,0,0.565,137,1-1,2025-12-10 07:14:50.044945
3627,278.0,291,392,False,0,0.56488,163,1-1,2025-12-10 07:14:50.437822
3628,421.0,722,0,False,0,0.56476,8018,1-1,2025-12-10 07:15:09.596507
3629,426.0,722,0,False,0,0.56464,8018,1-1,2025-12-10 07:15:28.708786
3630,264.0,298,392,False,0,0.5645199999999999,161,1-1,2025-12-10 07:15:29.086389
3631,277.0,295,392,False,0,0.5644,159,1-1,2025-12-10 07:15:29.471754
3632,409.0,722,0,False,0,0.5642799999999999,8018,1-1,2025-12-10 07:15:48.514898
